             Heights (in meters) of the sensors at non-NDBC stations

STATION        SITE    ATMP   ANEMOMETER  TIDE  BAROMETER   WTMP    WATER   WATCH
42391          NA       NA       NA       NA       NA       NA       1249.7   NA      
42392          0        NA       NA       NA       NA       NA       2156.16  NA      
42393          NA       NA       NA       NA       NA       NA       1333.5   NA      
42394          0        NA       100      NA       NA       NA       923.5    NA      
42395          0        3        3        NA       NA       NA       2941.9   NA      
42396          NA       NA       NA       NA       NA       NA       2122.93  NA      
42397          NA       NA       NA       NA       NA       NA       1332     NA      
42398          NA       NA       NA       NA       NA       NA       2165.9   NA      
42399          NA       NA       NA       NA       NA       NA       1615.4   NA      
42401          NA       NA       NA       NA       NA       NA       1021     NA      
42851          NA       NA       NA       NA       NA       NA       2036     NA      
42852          NA       NA       NA       NA       NA       NA       978.4    NA      
42853          NA       NA       NA       NA       NA       NA       1960.8   NA      
42854          NA       NA       NA       NA       NA       NA       670.9    NA      
42855          NA       NA       NA       NA       NA       NA       1717.9   NA      
42856          NA       NA       NA       NA       NA       NA       2695.3   NA      
42857          NA       NA       NA       NA       NA       NA       1339     NA      
42858          NA       NA       NA       NA       NA       NA       1297.2   NA      
42859          NA       NA       NA       NA       NA       NA       1170.1   NA      
42860          NA       NA       NA       NA       NA       NA       584.9    NA      
42861          NA       NA       NA       NA       NA       NA       2311.9   NA      
42862          NA       NA       NA       NA       NA       NA       786.1    NA      
42863          NA       NA       NA       NA       NA       NA       340.2    NA      
42864          NA       NA       NA       NA       NA       NA       2799.3   NA      
42865          NA       NA       NA       NA       NA       NA       1086.6   NA      
42866          NA       NA       NA       NA       NA       NA       853.4    NA      
42867          NA       NA       NA       NA       NA       NA       1756.9   NA      
42868          NA       NA       NA       NA       NA       NA       1743.5   NA      
42869          NA       NA       NA       NA       NA       NA       2133.9   NA      
42870          NA       NA       NA       NA       NA       NA       1295.1   NA      
42871          NA       NA       NA       NA       NA       NA       1895.9   NA      
42872          NA       NA       NA       NA       NA       NA       1520.95  NA      
42873          NA       NA       NA       NA       NA       NA       613      NA      
42874          NA       NA       NA       NA       NA       NA       1064     NA      
42875          NA       NA       NA       NA       NA       NA       448.7    NA      
42876          NA       NA       NA       NA       NA       NA       1226.2   NA      
42877          NA       NA       NA       NA       NA       NA       960.1    NA      
42878          NA       NA       NA       NA       NA       NA       1325     NA      
42879          NA       NA       NA       NA       NA       NA       1178.7   NA      
42880          NA       NA       NA       NA       NA       NA       1578.3   NA      
42881          NA       NA       NA       NA       NA       NA       2176.9   NA      
42882          NA       NA       NA       NA       NA       NA       1120.7   NA      
42883          NA       NA       NA       NA       NA       NA       1655.4   NA      
42884          NA       NA       NA       NA       NA       NA       2255.5   NA      
42885          NA       NA       NA       NA       NA       NA       1872     NA      
42886          NA       NA       NA       NA       NA       NA       893.4    NA      
42887          0        NA       48.2     NA       NA       NA       1843.4   NA      
42888          NA       NA       NA       NA       NA       NA       1646.8   NA      
42889          NA       NA       NA       NA       NA       NA       677.6    NA      
42890          NA       NA       NA       NA       NA       NA       1015     NA      
42891          NA       NA       NA       NA       NA       NA       1015     NA      
42892          NA       NA       NA       NA       NA       NA       784      NA      
42893          NA       NA       NA       NA       NA       NA       1517.6   NA      
42894          NA       NA       NA       NA       NA       NA       755.9    NA      
42895          NA       NA       NA       NA       NA       NA       1615.4   NA      
42896          NA       NA       NA       NA       NA       NA       1626     NA      
42897          NA       NA       NA       NA       NA       NA       1905.3   NA      
42898          NA       NA       NA       NA       NA       NA       1392.9   NA      
42899          NA       NA       NA       NA       NA       NA       2249.4   NA      
42900          NA       NA       NA       NA       NA       NA       777.2    NA      
42901          NA       NA       NA       NA       NA       NA       1649.9   NA      
42902          NA       NA       NA       NA       NA       NA       1107.9   NA      
42903          NA       NA       NA       NA       NA       NA       1884.9   NA      
42904          NA       NA       NA       NA       NA       NA       2426.7   NA      
42905          NA       NA       NA       NA       NA       NA       2479.2   NA      
42906          NA       NA       NA       NA       NA       NA       1217.1   NA      
42907          NA       NA       NA       NA       NA       NA       1089.7   NA      
42908          NA       NA       NA       NA       NA       NA       377.6    NA      
42909          NA       NA       NA       NA       NA       NA       1719.1   NA      
42910          NA       NA       NA       NA       NA       NA       599.8    NA      
42911          NA       NA       NA       NA       NA       NA       1001.9   NA      
42912          NA       NA       NA       NA       NA       NA       1409.7   NA      
42913          NA       NA       NA       NA       NA       NA       2179     NA      
42914          NA       NA       NA       NA       NA       NA       1786.4   NA      
42915          NA       NA       NA       NA       NA       NA       1279.2   NA      
42916          NA       NA       NA       NA       NA       NA       1961.4   NA      
42917          NA       NA       NA       NA       NA       NA       2119.9   NA      
42918          NA       NA       NA       NA       NA       NA       833.6    NA      
42919          NA       NA       NA       NA       NA       NA       1392.9   NA      
42920          NA       NA       NA       NA       NA       NA       1480.1   NA      
42921          NA       NA       NA       NA       NA       NA       2392.1   NA      
42922          NA       NA       NA       NA       NA       NA       2913.9   NA      
42923          NA       NA       NA       NA       NA       NA       591.3    NA      
42924          NA       NA       NA       NA       NA       NA       1760.5   NA      
42925          NA       NA       NA       NA       NA       NA       2190     NA      
42926          NA       NA       NA       NA       NA       NA       1998     NA      
42927          NA       NA       NA       NA       NA       NA       2237.2   NA      
42928          NA       NA       NA       NA       NA       NA       535      NA      
42929          NA       NA       NA       NA       NA       NA       1226.8   NA      
42930          NA       NA       NA       NA       NA       NA       1478     NA      
42931          NA       NA       NA       NA       NA       NA       949      NA      
42932          NA       NA       NA       NA       NA       NA       1256.7   NA      
42933          NA       NA       NA       NA       NA       NA       1184.1   NA      
42934          NA       NA       NA       NA       NA       NA       1987.9   NA      
42935          NA       NA       NA       NA       NA       NA       1230.8   NA      
42936          NA       NA       NA       NA       NA       NA       1449.6   NA      
42937          NA       NA       NA       NA       NA       NA       1318     NA      
42938          NA       NA       NA       NA       NA       NA       853.4    NA      
42939          NA       NA       NA       NA       NA       NA       1665.7   NA      
42940          NA       NA       NA       NA       NA       NA       2028.4   NA      
43010          0        NA       NA       NA       NA       NA       4769     NA      
44021          0        2        2        NA       NA       1.5      28       43.67   
44022          0        3        3.5      NA       NA       1        22.5     NA      
44024          0        3        4        NA       3        1        225      80      
44029          0        3        4        NA       3        1        65       45      
44030          0        3        4        NA       3        1        62       45      
44031          0        3        4        NA       NA       -1       NA       NA      
44032          0        3        4        NA       3        1        100      50      
44033          0        3        4        NA       3        1        110      75      
44034          0        3        4        NA       3        1        100      50      
44035          0        3        4        NA       NA       -1       NA       NA      
44036          0        3        4        NA       NA       -1       NA       NA      
44037          0        3        4        NA       3        1        285      55      
44038          0        3        4        NA       NA       -1       NA       NA      
44039          0        3        3.5      NA       NA       1        27       NA      
44040          0        3        3.5      NA       NA       1        18.3     NA      
44041          0        3        3        NA       1        0.5      NA       NA      
44042          0        3        3        NA       1        0.5      NA       NA      
44043          0        3        3        NA       1        0.5      6.1      NA      
44044          NA       NA       NA       NA       NA       NA       NA       NA      
44052          NA       NA       NA       NA       NA       NA       NA       NA      
44053          NA       NA       3        NA       NA       NA       NA       NA      
44054          0        NA       NA       NA       NA       NA       7.9      NA      
44055          NA       NA       NA       NA       NA       NA       NA       NA      
44056          0        NA       NA       NA       NA       0.46     17.4     NA      
44057          0        3        3        NA       1        0.5      NA       NA      
44058          0        3        3        NA       1        0.5      NA       NA      
44059          0        3        3        NA       1        0.5      NA       NA      
44060          0        3        3.5      NA       NA       1        23       NA      
44061          0        2        2        NA       2        0.5      NA       NA      
44062          0        3        3        NA       1        0.5      NA       NA      
44063          0        3        3        NA       1        0.5      NA       NA      
44064          0        3        3        NA       1        0.5      NA       NA      
44067          NA       NA       2.74321  NA       NA       NA       NA       NA      
44068          0        3        3        NA       1        0.5      NA       NA      
44069          0        3        3        NA       NA       1        NA       NA      
44072          0        3        3        NA       1        0.5      NA       NA      
44086          0        NA       NA       NA       NA       0.46     21       NA      
44087          0        NA       NA       NA       NA       0.46     7        NA      
44088          0        NA       NA       NA       NA       0.46     47       NA      
44089          0        NA       NA       NA       NA       0.46     16.9     NA      
44090          0        NA       NA       NA       NA       0.46     26       NA      
44091          0        NA       NA       NA       NA       0.46     25.6     NA      
44092          0        NA       NA       NA       NA       0.46     48.77    NA      
44093          0        NA       NA       NA       NA       0.46     26.82    NA      
44094          0        NA       NA       NA       NA       0.46     25       NA      
44095          0        NA       NA       NA       NA       0.46     18.3     NA      
44096          0        NA       NA       NA       NA       0.46     11.9     NA      
44097          0        NA       NA       NA       NA       0.46     48.16    NA      
44098          0        NA       NA       NA       NA       0.46     76.5     NA      
44099          0        NA       NA       NA       NA       0.46     18.29    NA      
44100          0        NA       NA       NA       NA       0.46     25.9     NA      
44137          0        NA       5        NA       NA       NA       4000     NA      
44138          0        NA       5        NA       NA       NA       1412     NA      
44139          0        NA       5        NA       NA       NA       1500     NA      
44140          0        NA       5        NA       NA       NA       1300     NA      
44141          0        NA       5        NA       NA       NA       3950     NA      
44142          NA       NA       NA       NA       NA       NA       NA       NA      
44150          0        NA       5        NA       NA       NA       1300     NA      
44172          0        NA       NA       NA       NA       NA       53       NA      
44174          0        NA       5        NA       NA       NA       160      NA      
44175          0        NA       5        NA       NA       NA       60       NA      
44176          0        NA       5        NA       NA       1        35       NA      
44235          NA       NA       NA       NA       NA       NA       177      NA      
44251          0        NA       5        NA       NA       NA       71       NA      
44255          0        NA       5        NA       NA       NA       179      NA      
44258          0        NA       5        NA       NA       NA       58       NA      
45013          176      2        2        NA       178      0        20       NA      
45014          176      2        2        NA       178      0        13       NA      
45015          176      NA       NA       NA       NA       1        NA       NA      
45016          176      NA       NA       NA       NA       1        NA       NA      
45017          176      NA       NA       NA       NA       1        NA       NA      
45018          176      NA       NA       NA       NA       1        NA       NA      
45019          176      NA       NA       NA       NA       1        NA       NA      
45020          176      2.4      2.4      NA       NA       NA       NA       NA      
45021          176      1.98     3.2      NA       NA       NA       NA       NA      
45022          176      2.64     2.95     NA       178.64   1        NA       NA      
45023          183      2.8      3        NA       NA       3        25       NA      
45024          176      2.64     2.95     NA       178.64   1        NA       NA      
45025          183      2.8      3        NA       185.8    3        28       NA      
45026          176      3        3        NA       NA       1        20.7     NA      
45027          183      3        3        NA       2.5      1        52       NA      
45028          183      3        3        NA       2.5      1        49       NA      
45029          176      3        3        NA       NA       1        27       NA      
45132          174      NA       5        NA       NA       NA       22       NA      
45135          75       NA       5        NA       NA       NA       68       NA      
45136          183      NA       5        NA       NA       NA       170      NA      
45137          177      NA       5        NA       NA       NA       55       NA      
45138          0        NA       5        NA       NA       333      NA       NA      
45139          75       NA       5        NA       NA       NA       35       NA      
45140          217      NA       NA       NA       NA       NA       12       NA      
45141          156      NA       NA       NA       NA       NA       58       NA      
45142          174      NA       5        NA       NA       NA       27       NA      
45143          177      NA       5        NA       NA       NA       50       NA      
45144          217      NA       NA       NA       NA       NA       12       NA      
45145          217      NA       NA       NA       NA       NA       12       NA      
45147          175      NA       5        NA       NA       NA       6        NA      
45148          332      NA       NA       NA       NA       NA       15       NA      
